source;target;type;match_type
/archives/1367-08-et-0908-centre-ville-dax-40-passiflore;/evenement/08-et-0908-centre-ville-dax-40-passiflore;301;exact
/archives/1359-0608-librairie-tschann-paris-75-tang-loaec;/evenement/0608-librairie-tschann-paris-75-tang-loaec;301;exact
/archives/1345-2907-librairie-de-corinne-soulac-sur-mer-33-patrick-azzurra;/evenement/2907-librairie-de-corinne-soulac-sur-mer-33-patrick-azzurra;301;exact
/archives/1343-18-2007-autour-du-livre-accous-64-passiflore;/evenement/18-2007-autour-du-livre-accous-64-passiflore;301;exact
/archives/1344-1907-autour-du-livre-accous-64-patrick-fort;/evenement/1907-autour-du-livre-accous-64-patrick-fort;301;exact
/archives/1362-18-et-1907-centre-ville-dax-40-passiflore;/evenement/18-et-1907-centre-ville-dax-40-passiflore;301;exact
/archives/1360-1707-gallician-camargue-gardoise-30-christophe-chay;/evenement/1707-gallician-camargue-gardoise-30-christophe-chay;301;exact
/archives/1347-1407-corne-d-or-nogaro-32-david-dupouy;/evenement/1407-corne-d-or-nogaro-32-david-dupouy;301;exact
/archives/1357-1007-rencontre-en-ligne-un-endroit-ou-aller-alice-minier;/evenement/1007-rencontre-en-ligne-un-endroit-ou-aller-alice-minier;301;exact
/archives/1354-0907-librairie-campus-dax-40-jean-michel-cormary;/evenement/0907-librairie-campus-dax-40-jean-michel-cormary;301;exact
/archives/1349-0807-lac-de-leon-40-alice-minier;/evenement/0807-lac-de-leon-40-alice-minier;301;exact
/archives/1351-0707-lac-de-christus-40-alice-minier;/evenement/0707-lac-de-christus-40-alice-minier;301;exact
/archives/1352-0707-arenes-d-eauze-32-david-dupouy;/evenement/0707-arenes-d-eauze-32-david-dupouy;301;exact
/archives/1348-0607-journee-du-livre-lasseube-64-patrick-fort;/evenement/0607-journee-du-livre-lasseube-64-patrick-fort;301;exact
/archives/1338-0507-librairie-livre-et-vous-16-jean-darot;/evenement/0507-librairie-livre-et-vous-16-jean-darot;301;exact
/archives/1324-0407-hossegor-40-jean-tucoo-chala;/evenement/0407-hossegor-40-jean-tucoo-chala;301;exact
/archives/1325-04-0607-hossegor-40-passiflore-et-ses-auteurs;/evenement/04-0607-hossegor-40-passiflore-et-ses-auteurs;301;exact
/archives/1336-2806-tabac-des-tilleuls-grenade-sur-l-adour-40-david-dupouy;/evenement/2806-tabac-des-tilleuls-grenade-sur-l-adour-40-david-dupouy;301;exact
/archives/1337-2706-eleclerc-soustons-40-jean-tucoo-chala;/evenement/2706-eleclerc-soustons-40-jean-tucoo-chala;301;exact
/archives/1334-2506-librairie-encre-blanche-pessac-33-chantal-detcherry;/evenement/2506-librairie-encre-blanche-pessac-33-chantal-detcherry;301;exact
/archives/1335-2506-espace-culturel-eleclerc-grand-mail-saint-paul-les-dax-40-david-dupouy;/evenement/2506-espace-culturel-eleclerc-grand-mail-saint-paul-les-dax-40-david-dupouy;301;exact
/archives/1341-21-2206-montmorillon-86-alice-minier;/evenement/21-2206-montmorillon-86-alice-minier;301;exact
/archives/1295-2106-librairie-la-reverie-aire-sur-l-adour-40-chantal-detcherry;/evenement/2106-librairie-la-reverie-aire-sur-l-adour-40-chantal-detcherry;301;exact
/archives/1306-1406-espace-culturel-e-leclerc-sainte-eulalie-33-jm-cormary-et-lafon;/evenement/1406-espace-culturel-e-leclerc-sainte-eulalie-33-jm-cormary-et-lafon;301;exact
/archives/1332-1406-arenes-de-mont-de-marsan-40-passiflore-et-david-dupouy;/evenement/1406-arenes-de-mont-de-marsan-40-passiflore-et-david-dupouy;301;exact
/archives/1333-1106-librairie-les-mots-du-zebre-33-sophie-chaussade;/evenement/1106-librairie-les-mots-du-zebre-33-sophie-chaussade;301;exact
